Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:15:29,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:15:30,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:15:31,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:15:32,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:15:33,101128,0.9981,16.41,25.5,27.5
2016-03-27 10:15:34,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:35,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:15:36,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:15:37,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:15:38,101151,0.9983,14.50,25.6,27.5
2016-03-27 10:15:39,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:40,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:41,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:15:42,101151,0.9983,14.50,25.5,27.5
2016-03-27 10:15:43,101139,0.9982,15.50,25.5,27.5
2016-03-27 10:15:44,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:45,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:46,101128,0.9981,16.41,25.5,27.5
2016-03-27 10:15:47,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:15:48,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:15:49,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:15:50,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:15:51,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:15:53,101139,0.9982,15.50,25.5,27.3
2016-03-27 10:15:54,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:15:55,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:15:56,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:15:57,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:15:58,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:15:59,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:00,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:01,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:16:02,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:03,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:04,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:05,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:06,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:07,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:08,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:16:09,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:10,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:16:11,101148,0.9983,14.74,25.5,27.3
2016-03-27 10:16:12,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:13,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:14,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:15,101139,0.9982,15.50,25.5,27.3
2016-03-27 10:16:17,101137,0.9981,15.66,25.5,27.3
